Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR490,"Cross-Disciplinary Fellowships | University of Edinburgh, The",https://cross-disciplinary-fellowships.ed.ac.uk/,CMVM,"Molecular, Genetic & Population Health Sciences",Function,,"Information on the University of Edinburgh's post-doctoral level programme for physicists, chemists, mathematicians, statisticians, engineers, computer scientists etc. seeking training in Quantitative Biomedicine.",Active,,Active UKWA crawl,179680,,,02/03/2023,Annual,Capped,Umbrella - auto,Listed in LF as CSG?
WAR491,"Centre for Sustainable Forests and Landscapes | University of Edinburgh, The",https://csfl.ed.ac.uk/,CSE,Geosciences,Centre/Institute,,"Site of a research centre based in the University of Edinburgh that was established to accelerate interdisciplinary research, partnerships, teaching, and innovation in sustainable forests and landscapes.",Active,,Active UKWA crawl,179682,,,02/03/2023,Annual,Capped,Umbrella - auto,
WAR492,"Centre for Strategic Leadership | University of Edinburgh, The",https://csl.business-school.ed.ac.uk/,CAHSS,Business,Centre/Institute,,,Active,,Active UKWA crawl,,253320,,22/09/2024,Monthly,Capped,Umbrella - auto,
WAR493,"Edinburgh Cyber Security, Privacy and Trust Institute | University of Edinburgh, The",https://cyber.ed.ac.uk/,CSE,Informatics,Centre/Institute,,Site of a cyber security research institution based at the University of Edinburgh.,Active,,Active UKWA crawl,179683,,,02/03/2023,Annual,Capped,Umbrella - auto,
WAR494,"Data Science Education Centre of Excellence (DSE CoE) | University of Edinburgh, The",https://data-science.ed.ac.uk/,CSE,Informatics,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR495,"Edinburgh Data Share | University of Edinburgh, The",https://datashare.ed.ac.uk/,ISG,Library and Collections,Function,,"Site of a digital repository of research data produced at the University of Edinburgh. University of Edinburgh researchers who have produced research data associated with an existing or forthcoming publication, or which has potential use for other researchers, are encouraged to upload their dataset for sharing and safekeeping.",Active,,Active UKWA crawl,158919,,,11/04/2022,Sixmonthly,Capped,Umbrella - auto,
WAR496,"Edinburgh Dental Institute | University of Edinburgh, The",https://dentistry.ed.ac.uk/,CMVM,Clinical Sciences,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR497,"Development and Alumni | University of Edinburgh, The",https://development-alumni.ed.ac.uk/,USG,Development and Alumni,Department,,Site of the Development and Alumni (D&A) department of the University of Edinburgh. ,Active,,Added to UKWA - AWS,,,,08/12/2024,Monthly,Capped,Umbrella - auto,
WAR498,"Disability and Learning Support Service | University of Edinburgh, The",https://disability-learning-support-service.ed.ac.uk/,USG,Student Experience Services,Service,,,Active,,Active UKWA crawl,,253226,,22/09/2024,Monthly,Capped,Umbrella - auto,
WAR499,"Centre for Discovery Brain Sciences | University of Edinburgh, The",https://discovery-brain-sciences.ed.ac.uk/,CMVM,Biomedical Sciences,Centre/Institute,,Site of a research centre that explores fundamental physiological mechanisms and pathways.,Active,,Active UKWA crawl,179405,,,27/02/2023,Annual,Capped,Umbrella - auto,
